Date,Open,High,Low,Close,advancing,declining,Volume,trade_value
1998/9/4,65.64,69.57,65.64,69.55,420,44,0,2979.0
1998/9/5,69.49,74.02,69.49,74.02,450,22,0,3724.0
1998/9/7,74.02,77.3,74.02,77.28,218,206,0,6710.0
1998/9/8,77.6,78.15,76.63,77.76,352,73,0,7717.0
1998/9/9,77.76,77.76,75.99,77.41,162,276,0,4204.0
1998/9/10,77.41,78.16,76.1,76.43,113,312,0,5540.0
1998/9/11,76.64,80.63,76.26,80.43,199,219,0,7433.0
1998/9/14,80.43,81.32,79.92,80.37,283,132,0,5360.0
1998/9/15,80.37,80.52,79.13,79.39,203,195,0,3222.0
1998/9/16,79.39,81.79,78.86,81.49,361,65,0,5821.0
1998/9/17,81.49,82.88,81.49,82.51,276,135,0,6998.0
1998/9/18,82.51,85.09,82.05,83.72,165,250,0,12181.0
1998/9/19,83.72,88.5,83.69,88.5,397,46,0,12977.0
1998/9/21,88.5,91.28,84.15,86.23,72,370,0,14375.0
1998/9/22,86.23,86.39,84.17,84.95,176,248,0,8836.0
1998/9/23,85.0,85.04,81.1,81.28,101,322,0,5439.0
1998/9/24,81.34,82.34,81.07,82.14,202,180,0,5951.0
1998/9/25,82.3,83.85,81.82,83.53,175,234,0,9248.0
1998/9/28,83.59,83.59,82.21,82.21,70,349,0,4974.0
1998/9/29,82.21,82.21,80.15,80.47,127,281,0,3911.0
1998/9/30,80.47,80.85,79.72,80.66,158,258,0,2702.0
1998/10/1,80.66,81.35,80.09,80.16,69,360,0,5075.0
1998/10/2,80.2,80.2,78.16,79.36,28,441,0,6493.0
1998/10/3,79.36,84.39,79.36,84.34,416,35,0,12281.0
1998/10/6,84.38,88.59,84.06,84.36,113,310,0,20387.0
1998/10/7,84.48,88.61,84.43,88.61,391,49,0,17143.0
1998/10/8,88.61,93.3,88.61,93.29,443,19,0,23561.0
1998/10/9,93.32,94.5,89.41,90.05,150,284,0,12730.0
1998/10/12,90.17,90.57,89.27,89.32,155,252,0,6232.0
1998/10/13,89.32,90.17,86.1,86.16,164,237,0,7151.0
1998/10/14,86.23,86.82,84.87,86.77,93,325,0,5643.0
1998/10/15,86.77,86.77,85.04,85.15,144,247,0,4769.0
1998/10/17,85.15,89.27,85.15,88.16,352,68,0,8931.0
1998/10/19,88.16,90.18,88.16,89.01,155,225,0,8480.0
1998/10/20,89.07,90.01,88.59,88.75,127,291,0,6178.0
1998/10/21,88.75,92.55,88.3,91.71,397,57,0,9368.0
1998/10/22,92.13,92.38,90.33,90.39,166,243,0,7879.0
1998/10/23,90.39,92.0,90.39,90.87,259,139,0,5424.0
1998/10/26,91.04,91.96,90.24,90.4,136,283,0,4233.0
1998/10/27,90.4,90.57,88.0,88.23,180,245,0,4175.0
1998/10/28,88.2,88.34,86.32,86.45,99,340,0,4779.0
1998/10/29,86.45,87.47,85.98,86.99,230,160,0,2875.0
1998/10/30,86.99,89.04,86.99,89.02,277,127,0,3637.0
1998/10/31,89.02,90.19,88.38,88.47,233,193,0,3957.0
1998/11/2,88.47,88.69,86.57,87.71,216,213,0,4176.0
1998/11/3,87.71,88.42,86.6,87.37,56,399,0,4813.0
1998/11/4,87.95,88.29,86.77,86.81,52,398,0,4459.0
1998/11/5,86.81,87.35,85.78,85.8,207,220,0,3421.0
1998/11/6,85.9,86.77,85.51,86.37,110,314,0,3966.0
1998/11/7,86.46,86.91,86.08,86.6,329,99,0,3470.0
1998/11/9,86.6,88.56,86.6,87.25,189,224,0,5023.0
1998/11/10,87.25,87.49,86.16,86.59,30,415,0,3265.0
1998/11/11,86.59,86.89,84.78,84.8,31,425,0,2879.0
1998/11/13,84.8,87.29,84.8,86.15,368,90,0,3633.0
1998/11/16,86.15,91.13,86.15,91.13,492,1,0,7575.0
1998/11/17,91.13,93.28,91.13,92.53,295,139,0,8962.0
1998/11/18,92.53,95.28,91.86,93.57,148,286,0,12479.0
1998/11/19,93.57,95.98,93.57,95.37,377,73,0,11492.0
1998/11/20,95.37,96.34,94.62,95.22,298,133,0,7962.0
1998/11/21,95.45,96.42,93.46,93.6,219,212,0,5778.0
1998/11/23,93.6,94.35,92.8,93.59,150,265,0,3832.0
1998/11/24,93.59,98.48,93.59,98.07,233,198,0,8388.0
1998/11/25,98.07,98.96,95.49,97.31,27,439,0,10501.0
1998/11/26,97.31,101.1,97.31,99.91,418,49,0,11609.0
1998/11/27,99.89,102.32,98.3,98.47,128,301,0,10378.0
1998/11/30,98.47,98.47,95.16,95.16,51,389,0,4224.0
1998/12/1,95.37,97.8,95.37,95.76,84,337,0,7851.0
1998/12/2,95.76,99.33,95.76,98.29,267,141,0,9272.0
1998/12/3,98.29,98.85,96.7,97.24,177,231,0,9092.0
1998/12/4,97.24,98.38,97.24,97.62,257,146,0,6758.0
1998/12/7,97.89,101.56,97.89,99.92,350,97,0,10544.0
1998/12/8,99.92,100.88,98.18,98.22,90,334,0,7510.0
1998/12/9,98.22,98.7,96.56,96.58,88,344,0,5146.0
1998/12/10,96.58,96.88,95.04,95.3,87,328,0,3101.0
1998/12/11,95.3,95.46,91.71,91.88,78,348,0,3956.0
1998/12/14,91.88,93.15,91.88,92.79,110,264,0,2733.0
1998/12/15,92.79,97.62,92.36,96.86,261,136,0,7132.0
1998/12/16,96.86,96.86,92.93,92.93,52,370,0,5968.0
1998/12/17,92.93,93.7,92.05,92.29,37,406,0,5414.0
1998/12/18,92.29,93.38,91.06,92.04,100,306,0,4372.0
1998/12/19,92.04,92.04,87.45,87.47,33,428,0,3901.0
1998/12/21,87.59,90.13,87.59,88.73,278,141,0,3395.0
1998/12/22,88.73,91.41,88.73,91.39,406,56,0,3579.0
1998/12/23,91.39,91.39,88.89,88.89,111,315,0,2584.0
1998/12/24,88.89,90.1,87.31,87.62,154,247,0,2584.0
1998/12/28,87.62,87.62,82.99,83.78,20,432,0,2376.0
1998/12/29,83.64,85.17,83.64,84.73,146,255,0,2681.0
1998/12/30,84.73,86.0,84.33,84.47,189,223,0,2082.0
1998/12/31,84.47,85.05,83.59,83.84,139,282,0,1610.0
1999/1/5,83.84,83.84,79.77,80.12,25,438,0,1559.0
1999/1/6,80.08,82.2,77.1,80.43,185,215,0,2593.0
1999/1/7,80.43,84.81,80.11,84.81,416,44,0,3227.0
1999/1/8,84.81,86.02,83.77,83.96,232,192,0,3105.0
1999/1/11,83.96,84.52,82.75,83.98,172,266,0,2400.0
1999/1/12,83.98,85.3,83.27,83.33,113,326,0,2823.0
1999/1/13,83.33,83.72,82.49,82.6,115,317,0,2359.0
1999/1/14,82.6,82.62,81.48,82.54,98,338,0,1687.0
1999/1/15,82.64,85.59,82.01,85.28,411,48,0,3269.0
1999/1/16,85.28,86.46,84.77,84.88,221,203,0,3348.0
1999/1/18,84.88,85.58,83.83,83.87,87,366,0,2067.0
1999/1/19,83.87,84.44,83.03,83.23,132,302,0,1576.0
1999/1/20,83.16,83.34,82.22,82.45,105,303,0,2987.0
1999/1/21,82.45,82.72,81.71,81.85,210,207,0,1788.0
1999/1/22,81.85,81.85,79.92,79.92,81,341,0,1497.0
1999/1/25,79.94,80.0,78.49,80.0,34,441,0,1767.0
1999/1/26,80.0,80.42,79.47,80.22,211,199,0,1454.0
1999/1/27,80.41,82.9,80.41,81.72,286,133,0,3053.0
1999/1/28,81.74,82.75,80.77,80.85,79,352,0,2343.0
1999/1/29,80.85,81.49,79.61,80.29,76,357,0,1885.0
1999/1/30,79.33,80.72,79.33,79.94,253,149,0,2139.0
1999/2/1,79.44,80.16,79.3,79.46,71,374,0,2087.0
1999/2/2,79.56,79.56,77.8,78.17,55,384,0,2315.0
1999/2/3,77.48,78.23,76.85,77.5,101,343,0,2017.0
1999/2/4,78.19,78.48,74.77,75.22,24,442,0,2798.0
1999/2/5,74.78,75.56,72.89,73.69,128,314,0,2651.0
1999/2/6,74.45,75.78,73.19,75.21,438,34,0,3520.0
1999/2/8,76.12,77.26,75.74,76.52,393,49,0,2859.0
1999/2/9,76.31,76.31,75.12,75.14,80,371,0,1541.0
