Date,Open,High,Low,Close,Volume,trade_value
2007/7/2,100.42,101.45,100.15,101.45,337774,13639.0
2007/7/3,102.28,102.87,102.26,102.26,474428,18118.0
2007/7/4,103.04,103.23,102.07,102.67,465361,15840.0
2007/7/5,103.11,103.81,102.51,103.75,464517,17674.0
2007/7/6,104.22,104.67,103.58,104.64,558762,20499.0
2007/7/9,105.59,107.5,105.16,107.43,598621,23918.0
2007/7/10,108.06,108.08,106.61,107.28,563236,24595.0
2007/7/11,106.47,106.7,105.61,106.14,539024,23080.0
2007/7/12,106.73,107.25,106.53,106.59,501832,21786.0
2007/7/13,108.51,108.58,106.06,106.21,439258,17154.0
2007/7/16,106.99,106.99,105.08,105.09,384347,14771.0
2007/7/17,105.5,106.3,104.43,106.12,344461,13804.0
2007/7/18,106.57,107.55,105.78,106.45,483643,19057.0
2007/7/19,106.43,108.24,106.43,107.49,528378,21133.0
2007/7/20,108.84,110.96,108.84,110.77,587114,23757.0
2007/7/23,111.59,112.83,111.53,112.12,492395,20004.0
2007/7/24,113.22,113.26,111.68,112.21,583812,23757.0
2007/7/25,111.57,112.04,111.18,111.57,511088,21491.0
2007/7/26,112.04,113.04,109.09,109.09,697122,28257.0
2007/7/27,106.22,107.81,105.42,106.08,553611,23534.0
2007/7/30,104.99,106.22,104.41,105.37,419488,17722.0
2007/7/31,107.01,108.23,106.82,107.75,373568,17480.0
2007/8/1,106.83,108.72,103.55,103.55,510654,24336.0
2007/8/2,105.78,105.79,101.81,104.47,456807,19395.0
2007/8/3,106.79,108.06,106.43,107.11,437091,19616.0
2007/8/6,104.83,106.11,104.48,105.43,296738,14073.0
2007/8/7,107.27,107.33,104.26,104.26,263493,12585.0
2007/8/8,104.79,105.68,104.08,105.5,249701,11507.0
2007/8/9,107.1,107.1,105.98,106.77,354868,14515.0
2007/8/10,103.13,104.96,103.13,104.51,333293,14954.0
2007/8/13,105.9,106.27,104.88,105.21,351906,15345.0
2007/8/14,105.55,106.29,104.27,104.88,342006,16498.0
2007/8/15,103.72,104.13,100.44,100.84,357258,16364.0
2007/8/16,99.09,99.82,95.2,95.2,423878,18543.0
2007/8/17,96.06,98.45,93.77,95.3,404164,17273.0
2007/8/20,99.57,100.84,99.28,100.37,304635,13591.0
2007/8/21,100.92,101.11,99.2,99.6,282673,12350.0
2007/8/22,100.15,100.74,99.42,100.49,239630,11421.0
2007/8/23,102.61,103.22,102.23,102.47,316133,15132.0
2007/8/24,102.63,103.56,102.05,102.69,321897,14439.0
2007/8/27,103.96,103.96,101.87,101.87,224444,10568.0
2007/8/28,101.74,103.45,101.74,102.38,257654,13033.0
2007/8/29,99.8,101.43,99.8,101.28,314746,14714.0
2007/8/30,103.19,103.77,102.54,103.09,330529,16271.0
2007/8/31,103.75,105.64,103.25,105.64,299987,16690.0
2007/9/3,106.43,106.46,104.98,105.12,268636,14140.0
2007/9/4,105.26,105.88,104.22,104.6,293313,14485.0
2007/9/5,106.0,106.87,104.94,105.01,362624,19649.0
2007/9/6,104.74,106.72,104.46,106.72,309977,14694.0
2007/9/7,107.44,107.63,106.25,106.3,297764,14830.0
