Date,Open,High,Low,Close,advancing,declining,Volume,trade_value
1998/9/5,200.21,210.16,197.65,208.23,450,22,0,51095.0
1998/9/7,208.32,211.18,206.99,208.82,218,206,0,32831.0
1998/9/8,209.47,217.39,209.47,217.23,352,73,0,53419.0
1998/9/9,217.23,222.11,216.22,217.68,162,276,0,64050.0
1998/9/10,217.68,218.01,213.04,213.2,113,312,0,29556.0
1998/9/11,213.68,213.68,205.32,210.13,199,219,0,28976.0
1998/9/14,210.24,212.28,209.14,209.59,283,132,0,19702.0
1998/9/15,209.59,211.76,207.71,208.77,203,195,0,23718.0
1998/9/16,208.77,213.09,208.0,213.09,361,65,0,28839.0
1998/9/17,213.09,219.9,213.09,215.59,276,135,0,50914.0
1998/9/18,215.59,215.59,212.93,213.24,165,250,0,25264.0
1998/9/19,213.24,219.05,213.24,216.96,397,46,0,33581.0
1998/9/21,216.96,220.25,213.95,214.75,72,370,0,41024.0
1998/9/22,214.75,218.92,214.75,217.85,176,248,0,32159.0
1998/9/23,217.62,221.53,217.55,218.3,101,322,0,41044.0
1998/9/24,218.42,222.92,218.42,219.04,202,180,0,36328.0
1998/9/25,218.6,219.45,216.15,218.38,175,234,0,18820.0
1998/9/28,218.72,219.35,216.79,217.96,70,349,0,16299.0
1998/9/29,218.0,220.01,214.65,216.19,127,281,0,25053.0
1998/9/30,216.19,217.67,211.76,212.66,158,258,0,26088.0
1998/10/1,212.66,212.66,204.69,204.69,69,360,0,19700.0
1998/10/2,205.07,205.07,192.82,194.58,28,441,0,24220.0
1998/10/3,194.58,199.45,194.58,198.24,416,35,0,21966.0
1998/10/6,198.68,198.68,188.58,194.13,113,310,0,18154.0
1998/10/7,193.74,197.03,192.15,196.9,391,49,0,20407.0
1998/10/8,196.9,205.75,196.9,205.75,443,19,0,35155.0
1998/10/9,205.88,205.88,201.12,201.12,150,284,0,24110.0
1998/10/12,201.35,206.46,200.31,200.31,155,252,0,19592.0
1998/10/13,200.31,204.26,200.31,201.36,164,237,0,21154.0
1998/10/14,201.44,203.07,200.46,201.16,93,325,0,16825.0
1998/10/15,201.16,204.19,201.03,201.26,144,247,0,18134.0
1998/10/17,201.26,209.5,201.26,206.89,352,68,0,34715.0
1998/10/19,206.89,209.03,205.75,205.75,155,225,0,19575.0
1998/10/20,205.84,205.84,200.94,201.15,127,291,0,18661.0
1998/10/21,201.15,203.45,199.94,203.45,397,57,0,16082.0
1998/10/22,203.45,205.45,201.27,201.66,166,243,0,16006.0
1998/10/23,201.66,205.04,201.03,204.66,259,139,0,24853.0
1998/10/26,204.62,205.55,203.6,203.83,136,283,0,20300.0
1998/10/27,203.83,206.31,202.89,203.72,180,245,0,23517.0
1998/10/28,203.9,207.76,203.69,204.51,99,340,0,37489.0
1998/10/29,204.51,207.42,204.51,207.39,230,160,0,28331.0
1998/10/30,207.39,213.4,207.39,213.4,277,127,0,48843.0
1998/10/31,213.4,220.21,213.4,220.03,233,193,0,72015.0
1998/11/2,220.03,225.86,220.03,225.86,216,213,0,69079.0
1998/11/3,225.86,227.03,221.2,222.65,56,399,0,69020.0
1998/11/4,220.65,222.31,212.86,216.44,52,398,0,48597.0
1998/11/5,216.44,223.18,215.12,222.47,207,220,0,54984.0
1998/11/6,222.96,223.34,217.45,218.23,110,314,0,45849.0
1998/11/7,218.58,224.65,218.58,223.97,329,99,0,51769.0
1998/11/9,223.97,225.3,222.46,223.45,189,224,0,32985.0
1998/11/10,223.45,223.45,217.86,218.47,30,415,0,31068.0
1998/11/11,218.47,218.47,213.14,214.11,31,425,0,28464.0
1998/11/13,214.11,221.46,214.11,218.95,368,90,0,42485.0
1998/11/16,218.95,224.56,218.95,224.29,492,1,0,37165.0
1998/11/17,224.29,233.67,224.29,233.64,295,139,0,70566.0
1998/11/18,233.64,237.62,232.83,233.54,148,286,0,69152.0
1998/11/19,233.54,245.18,233.54,245.09,377,73,0,90274.0
1998/11/20,245.09,250.06,244.69,250.06,298,133,0,94804.0
1998/11/21,250.11,252.83,246.77,248.32,219,212,0,85932.0
1998/11/23,248.32,248.32,243.42,243.42,150,265,0,40906.0
1998/11/24,243.42,254.31,243.42,252.32,233,198,0,85410.0
1998/11/25,252.32,252.32,243.06,248.82,27,439,0,77256.0
1998/11/26,248.82,256.4,248.82,252.41,418,49,0,75556.0
1998/11/27,252.77,253.57,247.39,247.89,128,301,0,48478.0
1998/11/30,247.89,247.89,242.24,243.16,51,389,0,31140.0
1998/12/1,243.61,245.56,240.81,240.99,84,337,0,34681.0
1998/12/2,240.99,245.64,240.65,240.84,267,141,0,37792.0
1998/12/3,240.84,243.31,239.48,242.25,177,231,0,29291.0
1998/12/4,242.25,247.84,242.25,244.91,257,146,0,50691.0
1998/12/7,245.12,252.16,245.12,250.41,350,97,0,72600.0
1998/12/8,250.41,252.08,245.12,246.86,90,334,0,50295.0
1998/12/9,246.86,247.12,241.89,243.67,88,344,0,34558.0
1998/12/10,243.67,244.93,241.73,242.31,87,328,0,33075.0
1998/12/11,242.31,243.3,237.49,237.78,78,348,0,36149.0
1998/12/14,237.78,240.56,233.69,233.77,110,264,0,28320.0
1998/12/15,233.77,233.98,224.85,233.89,261,136,0,36679.0
1998/12/16,233.89,234.51,226.85,227.07,52,370,0,30602.0
1998/12/17,227.07,228.18,223.56,223.56,37,406,0,28070.0
1998/12/18,223.56,228.87,223.56,225.98,100,306,0,33848.0
1998/12/19,225.98,226.3,222.17,222.78,33,428,0,29240.0
1998/12/21,223.0,226.61,222.97,223.22,278,141,0,21910.0
1998/12/22,223.22,236.04,223.22,236.04,406,56,0,53580.0
1998/12/23,236.04,236.16,233.07,233.47,111,315,0,45126.0
1998/12/24,233.47,239.34,232.42,232.97,154,247,0,42745.0
1998/12/28,232.97,232.97,224.87,226.82,20,432,0,25484.0
1998/12/29,227.01,228.82,224.37,228.53,146,255,0,22463.0
1998/12/30,228.53,234.27,228.53,230.41,189,223,0,42604.0
1998/12/31,230.41,232.72,228.4,228.59,139,282,0,25860.0
1999/1/5,228.59,228.59,218.32,219.61,25,438,0,23856.0
1999/1/6,219.71,225.34,215.87,222.54,185,215,0,36234.0
1999/1/7,222.54,231.24,222.37,231.01,416,44,0,54561.0
1999/1/8,231.01,237.38,230.47,232.97,232,192,0,68226.0
1999/1/11,232.97,240.81,232.97,238.6,172,266,0,67877.0
1999/1/12,238.6,241.96,238.21,239.57,113,326,0,60259.0
1999/1/13,239.57,241.48,236.21,239.09,115,317,0,49223.0
1999/1/14,239.09,239.11,231.26,234.91,98,338,0,53299.0
1999/1/15,235.16,241.63,231.21,241.63,411,48,0,56814.0
1999/1/16,241.63,246.84,241.42,241.49,221,203,0,87292.0
1999/1/18,241.49,241.49,237.95,237.95,87,366,0,34586.0
1999/1/19,237.95,239.67,234.53,234.81,132,302,0,34226.0
1999/1/20,235.39,237.17,234.55,235.02,105,303,0,34705.0
1999/1/21,235.02,240.06,235.02,235.5,210,207,0,42964.0
1999/1/22,235.5,235.5,229.47,230.28,81,341,0,33936.0
1999/1/25,230.5,230.5,220.71,221.41,34,441,0,32028.0
1999/1/26,221.41,226.13,219.54,226.13,211,199,0,30197.0
1999/1/27,226.44,232.03,226.44,228.19,286,133,0,40934.0
1999/1/28,228.01,228.05,224.4,224.51,79,352,0,22546.0
1999/1/29,224.51,226.28,221.01,221.01,76,357,0,32568.0
1999/1/30,219.43,225.93,219.43,221.6,253,149,0,33541.0
1999/2/1,219.31,219.31,214.14,214.29,71,374,0,24081.0
1999/2/2,215.21,215.21,207.27,208.19,55,384,0,24528.0
1999/2/3,204.65,214.75,202.42,213.29,101,343,0,35846.0
1999/2/4,212.07,213.93,205.76,206.46,24,442,0,31254.0
1999/2/5,208.02,213.47,207.02,209.15,128,314,0,35213.0
1999/2/6,212.62,216.5,209.23,216.5,438,34,0,39758.0
1999/2/8,218.42,221.04,216.22,218.47,393,49,0,44524.0
1999/2/9,218.13,218.46,214.51,214.72,80,371,0,25799.0
1999/2/10,211.5,214.81,211.5,213.84,339,97,0,25271.0
1999/2/20,222.66,224.5,217.98,222.8,439,28,0,32201.0
1999/2/22,224.19,229.49,222.08,227.34,450,26,0,47324.0
1999/2/23,227.79,228.06,217.06,218.09,60,402,0,35672.0
1999/2/24,217.26,222.43,217.13,221.7,200,216,0,29489.0
1999/2/25,224.08,227.41,220.95,222.59,291,122,0,47575.0
1999/2/26,222.42,226.09,221.25,226.08,238,158,0,31479.0
1999/3/1,226.35,227.8,224.98,226.13,287,135,0,33934.0
1999/3/2,224.4,224.83,220.29,221.87,182,238,0,27832.0
1999/3/3,221.02,225.68,220.8,225.68,326,112,0,32067.0
1999/3/4,227.18,229.14,223.29,223.38,215,218,0,41283.0
1999/3/5,224.35,225.42,221.39,222.77,204,198,0,25331.0
1999/3/6,226.26,227.74,224.09,224.41,241,172,0,30853.0
1999/3/8,225.72,227.86,224.11,227.71,155,265,0,26838.0
1999/3/9,229.44,234.3,228.8,231.88,275,133,0,59693.0
1999/3/10,232.19,233.63,230.84,232.94,153,253,0,35045.0
1999/3/11,234.24,236.62,232.77,232.99,129,306,0,46637.0
1999/3/12,233.74,234.76,231.68,234.76,155,254,0,32164.0
1999/3/15,235.55,243.8,234.79,243.8,283,134,0,68877.0
1999/3/16,246.65,250.55,243.9,247.38,324,108,0,88881.0
1999/3/17,248.97,254.19,246.92,251.91,322,118,0,80045.0
1999/3/18,253.41,259.52,252.07,259.52,365,85,0,89230.0
1999/3/19,260.37,262.53,255.7,261.28,386,70,0,80838.0
1999/3/20,260.64,264.01,258.24,262.65,207,230,0,71945.0
1999/3/22,263.05,267.37,261.34,265.33,246,174,0,59975.0
1999/3/23,267.1,269.19,259.72,259.72,201,234,0,71348.0
1999/3/24,255.35,260.71,255.12,259.48,109,344,0,58660.0
1999/3/25,261.71,262.48,258.18,259.86,288,134,0,55084.0
1999/3/26,262.49,262.77,259.13,261.52,359,83,0,56497.0
1999/3/29,261.81,261.81,253.07,253.29,134,315,0,41673.0
1999/3/30,255.46,256.26,251.45,253.78,132,299,0,36455.0
1999/3/31,253.34,254.06,249.08,251.58,162,264,0,28683.0
1999/4/1,250.5,256.84,250.11,254.68,331,114,0,41432.0
1999/4/2,256.6,258.96,256.45,258.2,402,62,0,47874.0
1999/4/3,259.26,260.14,255.61,256.02,216,217,0,53218.0
1999/4/6,258.81,259.0,255.62,256.26,210,213,0,31048.0
1999/4/7,256.48,257.1,253.86,256.41,134,300,0,31425.0
1999/4/8,257.9,267.0,257.9,265.14,322,99,0,74931.0
1999/4/9,268.01,268.91,265.34,265.76,162,261,0,69873.0
1999/4/12,266.84,273.26,265.62,270.55,110,349,0,79809.0
1999/4/13,270.77,275.64,269.56,275.64,323,110,0,77975.0
1999/4/14,275.54,279.85,274.91,275.0,276,162,0,82426.0
1999/4/15,273.2,275.11,270.91,274.89,266,164,0,62180.0
1999/4/16,275.15,276.41,267.5,267.58,213,232,0,68096.0
1999/4/17,265.72,272.5,265.51,270.79,348,92,0,52518.0
1999/4/19,271.95,275.29,270.12,273.05,288,164,0,52591.0
1999/4/20,269.85,272.11,266.49,269.11,242,223,0,41013.0
1999/4/21,271.01,272.66,265.58,265.76,108,344,0,51832.0
