Date,Open,High,Low,Close,advancing,declining,Volume,trade_value
1987/1/7,101.0,101.91,101.0,101.91,0,0,0,4231.0
1987/1/8,101.91,102.09,101.91,102.09,0,0,0,3743.0
1987/1/9,102.09,102.09,101.9,101.9,0,0,0,3958.0
1987/1/10,101.9,103.9,101.9,103.9,0,0,0,4089.0
1987/1/12,103.9,106.9,103.9,106.9,0,0,0,5578.0
1987/1/13,106.9,106.9,106.59,106.59,0,0,0,6154.0
1987/1/14,106.59,107.07,106.59,107.07,0,0,0,5007.0
1987/1/15,107.07,107.09,107.07,107.09,0,0,0,4283.0
1987/1/16,107.09,107.09,107.03,107.03,0,0,0,3999.0
1987/1/17,107.03,108.43,107.03,108.43,0,0,0,3845.0
1987/1/19,108.43,109.1,108.43,109.1,0,0,0,5659.0
1987/1/20,109.1,109.42,109.1,109.42,0,0,0,3744.0
1987/1/21,109.42,109.42,107.9,107.9,0,0,0,3517.0
1987/1/22,107.9,108.16,107.9,108.16,0,0,0,3233.0
1987/1/23,108.16,109.16,108.16,109.16,0,0,0,4422.0
1987/1/24,109.16,109.28,109.16,109.28,0,0,0,3462.0
1987/2/3,109.28,111.28,109.28,111.28,0,0,0,5069.0
1987/2/4,111.28,111.28,110.73,110.73,0,0,0,4790.0
1987/2/5,110.73,111.98,110.73,111.98,0,0,0,4260.0
1987/2/6,111.98,113.23,111.98,113.23,0,0,0,5571.0
1987/2/7,113.23,113.68,113.23,113.68,0,0,0,5773.0
1987/2/9,113.68,116.16,113.68,116.16,0,0,0,4863.0
1987/2/10,116.16,116.16,115.91,115.91,0,0,0,5777.0
1987/2/11,115.91,116.97,115.91,116.97,0,0,0,5490.0
1987/2/12,116.97,116.97,116.6,116.6,0,0,0,6165.0
1987/2/13,116.6,116.6,112.09,112.09,0,0,0,6095.0
1987/2/14,112.09,113.59,112.09,113.59,0,0,0,3685.0
1987/2/16,113.59,115.37,113.59,115.37,0,0,0,3856.0
1987/2/17,115.37,115.64,115.37,115.64,0,0,0,5068.0
1987/2/18,115.64,115.68,115.64,115.68,0,0,0,5061.0
1987/2/19,115.68,116.82,115.68,116.82,0,0,0,4447.0
1987/2/20,116.82,117.1,116.82,117.1,0,0,0,4943.0
1987/2/21,117.1,117.1,115.36,115.36,0,0,0,3596.0
1987/2/23,115.36,116.64,115.36,116.64,0,0,0,4610.0
1987/2/24,116.64,117.75,116.64,117.75,0,0,0,5300.0
