Date,Open,High,Low,Close,Volume,trade_value
2000/11/16,5728.09,5728.09,5583.32,5604.22,11966,0.0
2000/11/17,5486.4,5486.4,5351.8,5415.82,9456,0.0
2000/11/23,5196.26,5279.82,5160.07,5279.82,8714,0.0
2000/11/24,5305.59,5537.38,5305.59,5537.38,13947,0.0
2000/11/27,5570.37,5602.54,5489.05,5550.74,12097,0.0
2000/11/28,5536.37,5554.83,5475.86,5526.39,8427,0.0
2000/11/29,5479.2,5616.96,5460.45,5543.36,12850,0.0
2000/11/30,5542.97,5565.86,5456.51,5490.91,8270,0.0
2000/12/1,5429.56,5544.84,5396.24,5544.84,8302,0.0
2000/12/2,5559.09,5635.8,5528.02,5548.59,10076,0.0
2000/12/4,5529.42,5555.0,5480.89,5493.03,6849,0.0
2000/12/5,5482.12,5606.17,5449.51,5591.31,11308,0.0
2000/12/6,5644.89,5699.27,5563.56,5575.75,12191,0.0
2000/12/7,5536.9,5623.52,5534.33,5623.52,10150,0.0
2000/12/8,5628.98,5745.58,5613.79,5744.7,13637,0.0
2000/12/11,5762.17,5844.22,5729.24,5827.68,12656,0.0
2000/12/12,5846.74,5896.04,5839.29,5896.04,13248,0.0
2000/12/13,5894.76,5960.31,5888.31,5944.25,13591,0.0
2000/12/14,5928.37,5935.83,5854.32,5899.18,10518,0.0
2000/12/15,5842.53,5842.53,5751.52,5770.99,7826,0.0
2000/12/16,5694.94,5700.72,5634.26,5643.16,6022,0.0
2000/12/18,5595.8,5616.54,5541.32,5597.2,6401,0.0
2000/12/19,5579.03,5679.63,5539.45,5679.04,10922,0.0
2000/12/20,5660.24,5697.56,5582.83,5625.03,11529,0.0
2000/12/21,5520.39,5520.39,5461.88,5500.14,7738,0.0
2000/12/22,5491.84,5570.3,5466.5,5537.14,9894,0.0
2000/12/26,5563.86,5571.29,5441.69,5446.64,5993,0.0
2000/12/27,5404.85,5409.04,5303.16,5325.46,5941,0.0
2000/12/28,5307.34,5524.04,5285.26,5524.04,10477,0.0
2000/12/29,5528.52,5562.85,5487.98,5507.73,11290,0.0
2000/12/30,5470.63,5635.97,5451.19,5607.42,13616,0.0
2001/1/2,5615.12,5778.31,5599.14,5778.31,16988,0.0
2001/1/3,5729.88,5827.86,5698.82,5747.54,15840,0.0
2001/1/4,5834.76,6001.63,5834.76,5943.51,26167,0.0
