Date,Open,High,Low,Close,advancing,declining,Volume,trade_value
1987/1/8,106.72,109.09,106.72,109.09,0,0,0,3743.0
1987/1/9,109.09,110.01,109.09,110.01,0,0,0,3958.0
1987/1/10,110.01,110.01,109.63,109.63,0,0,0,4089.0
1987/1/12,109.63,111.22,109.63,111.22,0,0,0,5578.0
1987/1/13,111.22,111.22,111.22,111.22,0,0,0,6154.0
1987/1/14,111.22,111.25,111.22,111.25,0,0,0,5007.0
1987/1/15,111.25,111.25,110.23,110.23,0,0,0,4283.0
1987/1/16,110.23,110.76,110.23,110.76,0,0,0,3999.0
1987/1/17,110.76,110.76,110.25,110.25,0,0,0,3845.0
1987/1/20,112.31,112.31,112.22,112.22,0,0,0,3744.0
1987/1/21,112.22,112.22,111.8,111.8,0,0,0,3517.0
1987/1/22,111.8,112.2,111.8,112.2,0,0,0,3233.0
1987/1/23,112.2,112.72,112.2,112.72,0,0,0,4422.0
1987/1/24,112.72,113.79,112.72,113.79,0,0,0,3462.0
1987/2/3,113.79,118.41,113.79,118.41,0,0,0,5069.0
1987/2/4,118.41,121.23,118.41,121.23,0,0,0,4790.0
1987/2/5,121.23,121.23,120.94,120.94,0,0,0,4260.0
1987/2/6,120.94,122.37,120.94,122.37,0,0,0,5571.0
1987/2/7,122.37,123.16,122.37,123.16,0,0,0,5773.0
1987/2/9,123.16,124.38,123.16,124.38,0,0,0,4863.0
1987/2/10,124.38,125.45,124.38,125.45,0,0,0,5777.0
1987/2/11,125.45,126.98,125.45,126.98,0,0,0,5490.0
1987/2/12,126.98,131.19,126.98,131.19,0,0,0,6165.0
1987/2/13,131.19,131.19,126.75,126.75,0,0,0,6095.0
1987/2/14,126.75,127.93,126.75,127.93,0,0,0,3685.0
1987/2/16,127.93,127.93,127.47,127.47,0,0,0,3856.0
1987/2/17,127.47,128.11,127.47,128.11,0,0,0,5068.0
1987/2/18,128.11,128.11,125.76,125.76,0,0,0,5061.0
1987/2/19,125.76,125.76,124.62,124.62,0,0,0,4447.0
1987/2/20,124.62,126.16,124.62,126.16,0,0,0,4943.0
1987/2/21,126.16,127.26,126.16,127.26,0,0,0,3596.0
1987/2/23,127.26,128.77,127.26,128.77,0,0,0,4610.0
1987/2/24,128.77,128.77,128.33,128.33,0,0,0,5300.0
1987/2/25,128.33,128.33,126.94,126.94,0,0,0,4390.0
1987/2/26,126.94,129.42,126.94,129.42,0,0,0,4742.0
1987/2/27,129.42,130.35,129.42,130.35,0,0,0,5319.0
