date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1000000,1000000,1000000,0.0,1024400.0
2000-01-06,1001400.0,995400.0,1032400.0,37000.0,1032400.0
2000-01-07,997200.0,973600.0,1005400.0,58800.0,1028200.0
2000-01-10,1071400.0,1007400.0,1071400.0,64000.0,1102400.0
2000-01-11,1021600.0,1017400.0,1099400.0,82000.0,1052600.0
2000-01-12,1069400.0,1021600.0,1069400.0,77800.0,1100400.0
2000-01-13,1054400.0,1044600.0,1070400.0,54800.0,1085400.0
2000-01-14,1046000.0,1026600.0,1069400.0,72800.0,1077000.0
2000-01-15,1077400.0,1050400.0,1077400.0,49000.0,1108400.0
2000-01-17,1091400.0,1071600.0,1109400.0,37800.0,1122400.0
2000-01-18,1088800.0,1088800.0,1088800.0,20600.0,1118000.0
2000-01-19,1077200.0,1075400.0,1100000.0,34000.0,1099400.0
2000-01-20,1094000.0,1074800.0,1094000.0,34600.0,1116200.0
2000-01-21,1093400.0,1093400.0,1093400.0,16000.0,1132400.0
2000-01-24,1093400.0,1093400.0,1093400.0,16000.0,1162000.0
2000-01-25,1093400.0,1093400.0,1093400.0,16000.0,1152800.0
2000-01-26,1133200.0,1092800.0,1140800.0,48000.0,1206800.0
2000-01-27,1134800.0,1126800.0,1150800.0,24000.0,1208400.0
2000-01-28,1148800.0,1120200.0,1148800.0,30600.0,1222400.0
2000-01-29,1128200.0,1128200.0,1128200.0,22600.0,1214200.0
2000-01-31,1153800.0,1122400.0,1154400.0,32000.0,1235800.0
2000-02-01,1186400.0,1166400.0,1186400.0,20000.0,1268400.0
2000-02-09,1210200.0,1196600.0,1220200.0,23600.0,1292200.0
2000-02-10,1209400.0,1200200.0,1219400.0,20000.0,1291400.0
2000-02-11,1213800.0,1212400.0,1237800.0,25400.0,1295800.0
2000-02-14,1199800.0,1199800.0,1199800.0,38000.0,1258400.0
2000-02-15,1199800.0,1199800.0,1199800.0,38000.0,1260000.0
2000-02-16,1217400.0,1199200.0,1217400.0,38600.0,1280400.0
2000-02-17,1258000.0,1223800.0,1265000.0,41200.0,1321000.0
2000-02-18,1214200.0,1208400.0,1269800.0,61400.0,1294400.0
2000-02-19,1239400.0,1200800.0,1244000.0,69000.0,1319600.0
2000-02-21,1186200.0,1182200.0,1236200.0,87600.0,1266400.0
2000-02-22,1173800.0,1173800.0,1173800.0,96000.0,1237400.0
2000-02-23,1173800.0,1173800.0,1173800.0,96000.0,1202600.0
2000-02-24,1165200.0,1151200.0,1186200.0,118600.0,1210400.0
2000-02-25,1137600.0,1127200.0,1167800.0,142600.0,1182800.0
2000-02-29,1143200.0,1133200.0,1161200.0,136600.0,1188400.0
2000-03-01,1186200.0,1157400.0,1186200.0,112400.0,1231400.0
2000-03-02,1155800.0,1150200.0,1186200.0,119600.0,1201000.0
2000-03-03,1169200.0,1151400.0,1170200.0,118400.0,1214400.0
2000-03-04,1184600.0,1184600.0,1184600.0,85200.0,1197400.0
2000-03-06,1163000.0,1162400.0,1187000.0,107400.0,1167400.0
2000-03-07,1171000.0,1143200.0,1175000.0,126600.0,1175400.0
2000-03-08,1163400.0,1163400.0,1163400.0,106400.0,1166400.0
2000-03-09,1185200.0,1162800.0,1186600.0,107000.0,1199800.0
2000-03-10,1151800.0,1150800.0,1195800.0,119000.0,1166400.0
2000-03-13,1133200.0,1133200.0,1133200.0,136600.0,1033200.0
2000-03-14,1192200.0,1128400.0,1200800.0,141400.0,1032000.0
2000-03-15,1140600.0,1140600.0,1202200.0,129200.0,980400.0
2000-03-16,1155400.0,1098600.0,1168600.0,171200.0,995200.0
2000-03-17,1126800.0,1124400.0,1159200.0,145400.0,975200.0
2000-03-20,1067000.0,1067000.0,1067000.0,202800.0,915400.0
2000-03-21,1182600.0,1065800.0,1182600.0,204000.0,1031000.0
2000-03-22,1229000.0,1182000.0,1253600.0,87800.0,1077400.0
2000-03-23,1341200.0,1251200.0,1352800.0,101600.0,1189600.0
2000-03-24,1323000.0,1298000.0,1336000.0,54800.0,1171400.0
2000-03-27,1381000.0,1318000.0,1393400.0,75400.0,1229400.0
2000-03-28,1387200.0,1364200.0,1403000.0,38800.0,1235600.0
2000-03-29,1383600.0,1366000.0,1396000.0,37000.0,1232000.0
2000-03-30,1379400.0,1379400.0,1379400.0,23600.0,1259000.0
2000-03-31,1379400.0,1379400.0,1379400.0,23600.0,1245400.0
2000-04-01,1428600.0,1367800.0,1428600.0,60800.0,1292200.0
2000-04-05,1469200.0,1408800.0,1476800.0,68000.0,1332800.0
2000-04-06,1400800.0,1392000.0,1476200.0,84800.0,1264400.0
2000-04-07,1412200.0,1412200.0,1412200.0,64600.0,1278200.0
2000-04-08,1404600.0,1390800.0,1421000.0,86000.0,1271200.0
2000-04-10,1448200.0,1381800.0,1449800.0,95000.0,1314800.0
2000-04-11,1432000.0,1420200.0,1447800.0,56600.0,1298600.0
2000-04-12,1385800.0,1384200.0,1430800.0,92600.0,1252400.0
2000-04-13,1339800.0,1306200.0,1355400.0,170600.0,1206400.0
2000-04-14,1259400.0,1258000.0,1333800.0,218800.0,1126000.0
2000-04-15,1135800.0,1129000.0,1191800.0,347800.0,1002400.0
2000-04-17,1196400.0,1136000.0,1196400.0,340800.0,1063000.0
2000-04-18,1256200.0,1230200.0,1277800.0,246600.0,1122800.0
2000-04-19,1213800.0,1213800.0,1295600.0,263000.0,1080400.0
2000-04-20,1237600.0,1166200.0,1237600.0,310600.0,1104200.0
2000-04-21,1227800.0,1213400.0,1256400.0,263400.0,1088800.0
2000-04-24,1164600.0,1164600.0,1227200.0,312200.0,1025600.0
2000-04-25,1201400.0,1146800.0,1207400.0,330000.0,1062400.0
2000-04-26,1097400.0,1095000.0,1211400.0,381800.0,958400.0
2000-04-27,1127200.0,1103400.0,1141000.0,373400.0,988200.0
2000-04-28,1171400.0,1111400.0,1185400.0,365400.0,1032400.0
2000-04-29,1167000.0,1145400.0,1177000.0,331400.0,1028000.0
2000-05-02,1178800.0,1178800.0,1178800.0,298000.0,999200.0
2000-05-03,1159400.0,1147000.0,1178200.0,329800.0,966000.0
2000-05-04,1157600.0,1132200.0,1201800.0,344600.0,964200.0
2000-05-05,1215800.0,1135800.0,1218800.0,341000.0,1022400.0
2000-05-06,1207800.0,1194000.0,1219800.0,282800.0,1014400.0
2000-05-08,1197800.0,1176400.0,1211800.0,300400.0,1004400.0
2000-05-09,1194600.0,1194600.0,1194600.0,282200.0,1014000.0
2000-05-10,1160200.0,1160200.0,1203800.0,316600.0,982600.0
2000-05-11,1129400.0,1114000.0,1138000.0,362800.0,951800.0
2000-05-12,1145400.0,1145400.0,1145400.0,331400.0,982400.0
2000-05-15,1145400.0,1145400.0,1145400.0,331400.0,966400.0
2000-05-16,1187400.0,1141400.0,1187400.0,335400.0,1017400.0
2000-05-17,1250400.0,1202400.0,1250400.0,274400.0,1080400.0
2000-05-18,1253400.0,1232200.0,1258400.0,244600.0,1083400.0
2000-05-19,1252800.0,1252800.0,1252800.0,224000.0,1109400.0
2000-05-20,1252800.0,1252800.0,1252800.0,224000.0,1030800.0
2000-05-22,1252800.0,1252800.0,1252800.0,224000.0,1028000.0
2000-05-23,1252800.0,1252800.0,1252800.0,224000.0,1012000.0
2000-05-24,1252800.0,1252800.0,1252800.0,224000.0,977800.0
2000-05-25,1225200.0,1218200.0,1256200.0,258600.0,975400.0
2000-05-26,1237800.0,1207200.0,1248200.0,269600.0,988000.0
2000-05-29,1239400.0,1232400.0,1253200.0,244400.0,989600.0
2000-05-30,1275200.0,1245600.0,1275800.0,231200.0,1025400.0
2000-05-31,1306200.0,1296200.0,1310200.0,180600.0,1056400.0
2000-06-01,1295200.0,1285800.0,1302000.0,191000.0,1045400.0
2000-06-02,1296200.0,1296200.0,1322200.0,180600.0,1046400.0
2000-06-03,1318800.0,1306400.0,1324600.0,170400.0,1069000.0
2000-06-05,1320400.0,1304400.0,1322200.0,172400.0,1070600.0
2000-06-07,1347200.0,1308400.0,1351200.0,168400.0,1097400.0
2000-06-08,1335000.0,1329800.0,1352200.0,147000.0,1085200.0
2000-06-09,1329800.0,1319800.0,1339200.0,157000.0,1080000.0
2000-06-12,1313800.0,1310200.0,1337200.0,166600.0,1064000.0
2000-06-13,1290000.0,1290000.0,1308200.0,186800.0,1040200.0
2000-06-14,1305200.0,1295200.0,1310000.0,181600.0,1055400.0
2000-06-15,1288200.0,1284000.0,1300200.0,192800.0,1038400.0
2000-06-16,1293000.0,1276400.0,1294000.0,200400.0,1043200.0
2000-06-17,1282000.0,1279400.0,1295000.0,197400.0,1032200.0
2000-06-19,1275000.0,1248800.0,1284200.0,228000.0,1025200.0
