date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1000000,1000000,1000000,0.0,1024400.0
2000-01-06,1000000,1000000,1000000,0.0,1032400.0
2000-01-07,1000000,1000000,1000000,0.0,1028200.0
2000-01-10,1049600.0,985600.0,1049600.0,64000.0,1102400.0
2000-01-11,1077000.0,1077000.0,1077000.0,0.0,1052600.0
2000-01-12,1077000.0,1077000.0,1077000.0,0.0,1100400.0
2000-01-13,1077000.0,1077000.0,1077000.0,0.0,1085400.0
2000-01-14,1077000.0,1077000.0,1077000.0,0.0,1077000.0
2000-01-15,1077000.0,1077000.0,1077000.0,0.0,1108400.0
2000-01-17,1077000.0,1077000.0,1077000.0,0.0,1122400.0
2000-01-18,1077000.0,1077000.0,1077000.0,0.0,1118000.0
2000-01-19,1077000.0,1077000.0,1077000.0,0.0,1099400.0
2000-01-20,1086800.0,1067600.0,1086800.0,19200.0,1116200.0
2000-01-21,1105600.0,1084600.0,1115400.0,30800.0,1132400.0
2000-01-24,1135200.0,1109600.0,1135200.0,25600.0,1162000.0
2000-01-25,1121200.0,1121200.0,1121200.0,14000.0,1152800.0
2000-01-26,1121200.0,1121200.0,1121200.0,14000.0,1206800.0
2000-01-27,1121200.0,1121200.0,1121200.0,14000.0,1208400.0
2000-01-28,1121200.0,1121200.0,1121200.0,14000.0,1222400.0
2000-01-29,1132400.0,1117600.0,1132400.0,17600.0,1214200.0
2000-01-31,1154000.0,1122600.0,1154600.0,32000.0,1235800.0
2000-02-01,1186600.0,1166600.0,1186600.0,20000.0,1268400.0
2000-02-09,1210400.0,1196800.0,1220400.0,23600.0,1292200.0
2000-02-10,1208000.0,1208000.0,1208000.0,12400.0,1291400.0
2000-02-11,1208000.0,1208000.0,1208000.0,12400.0,1295800.0
2000-02-14,1208000.0,1208000.0,1208000.0,12400.0,1258400.0
2000-02-15,1208000.0,1208000.0,1208000.0,12400.0,1260000.0
2000-02-16,1208000.0,1208000.0,1208000.0,12400.0,1280400.0
2000-02-17,1208000.0,1208000.0,1208000.0,12400.0,1321000.0
2000-02-18,1208000.0,1208000.0,1208000.0,12400.0,1294400.0
2000-02-19,1208000.0,1208000.0,1208000.0,12400.0,1319600.0
2000-02-21,1167600.0,1163600.0,1217600.0,56800.0,1266400.0
2000-02-22,1138600.0,1117800.0,1167600.0,102600.0,1237400.0
2000-02-23,1127000.0,1127000.0,1127000.0,93400.0,1202600.0
2000-02-24,1127000.0,1127000.0,1127000.0,93400.0,1210400.0
2000-02-25,1096800.0,1086400.0,1127000.0,134000.0,1182800.0
2000-02-29,1102400.0,1092400.0,1120400.0,128000.0,1188400.0
2000-03-01,1145400.0,1116600.0,1145400.0,103800.0,1231400.0
2000-03-02,1115000.0,1109400.0,1145400.0,111000.0,1201000.0
2000-03-03,1128400.0,1110600.0,1129400.0,109800.0,1214400.0
2000-03-04,1111400.0,1110400.0,1145200.0,110000.0,1197400.0
2000-03-06,1081400.0,1080800.0,1105400.0,139600.0,1167400.0
2000-03-07,1089400.0,1061600.0,1093400.0,158800.0,1175400.0
2000-03-08,1080400.0,1076400.0,1101400.0,144000.0,1166400.0
2000-03-09,1113800.0,1091400.0,1115200.0,129000.0,1199800.0
2000-03-10,1080400.0,1079400.0,1124400.0,141000.0,1166400.0
2000-03-13,947200.0,947200.0,1062400.0,273200.0,1033200.0
2000-03-14,946000.0,882200.0,954600.0,338200.0,1032000.0
2000-03-15,894400.0,894400.0,956000.0,326000.0,980400.0
2000-03-16,909200.0,852400.0,922400.0,368000.0,995200.0
2000-03-17,880600.0,878200.0,913000.0,342200.0,975200.0
2000-03-20,820800.0,820800.0,820800.0,399600.0,915400.0
2000-03-21,936400.0,819600.0,936400.0,400800.0,1031000.0
2000-03-22,982800.0,935800.0,1007400.0,284600.0,1077400.0
2000-03-23,1095000.0,1005000.0,1106600.0,215400.0,1189600.0
2000-03-24,1076800.0,1051800.0,1089800.0,168600.0,1171400.0
2000-03-27,1071200.0,1071200.0,1071200.0,149200.0,1229400.0
2000-03-28,1071200.0,1071200.0,1071200.0,149200.0,1235600.0
2000-03-29,1071200.0,1071200.0,1071200.0,149200.0,1232000.0
2000-03-30,1101200.0,1066600.0,1130600.0,153800.0,1259000.0
2000-03-31,1087600.0,1071800.0,1101200.0,148600.0,1245400.0
2000-04-01,1134400.0,1073600.0,1134400.0,146800.0,1292200.0
2000-04-05,1145800.0,1145800.0,1145800.0,74600.0,1332800.0
2000-04-06,1145800.0,1145800.0,1145800.0,74600.0,1264400.0
2000-04-07,1145800.0,1145800.0,1145800.0,74600.0,1278200.0
2000-04-08,1145800.0,1145800.0,1145800.0,74600.0,1271200.0
2000-04-10,1191600.0,1125200.0,1193200.0,95200.0,1314800.0
2000-04-11,1178800.0,1178800.0,1178800.0,41600.0,1298600.0
2000-04-12,1178800.0,1178800.0,1178800.0,41600.0,1252400.0
2000-04-13,1178800.0,1178800.0,1178800.0,41600.0,1206400.0
2000-04-14,1134800.0,1133400.0,1209200.0,87000.0,1126000.0
2000-04-15,1011200.0,1004400.0,1067200.0,216000.0,1002400.0
2000-04-17,1071800.0,1011400.0,1071800.0,209000.0,1063000.0
2000-04-18,1131600.0,1105600.0,1153200.0,114800.0,1122800.0
2000-04-19,1089200.0,1089200.0,1171000.0,131200.0,1080400.0
2000-04-20,1113000.0,1041600.0,1113000.0,178800.0,1104200.0
2000-04-21,1103200.0,1088800.0,1131800.0,131600.0,1088800.0
2000-04-24,1040000.0,1040000.0,1102600.0,180400.0,1025600.0
2000-04-25,1076800.0,1022200.0,1082800.0,198200.0,1062400.0
2000-04-26,1086200.0,1086200.0,1086200.0,134200.0,958400.0
2000-04-27,1095800.0,1072000.0,1109600.0,148400.0,988200.0
2000-04-28,1099400.0,1099400.0,1099400.0,121000.0,1032400.0
2000-04-29,1099400.0,1099400.0,1099400.0,121000.0,1028000.0
2000-05-02,1057600.0,1053000.0,1101800.0,167400.0,999200.0
2000-05-03,1024400.0,1012000.0,1043200.0,208400.0,966000.0
2000-05-04,1038200.0,1038200.0,1038200.0,182200.0,964200.0
2000-05-05,1038200.0,1038200.0,1038200.0,182200.0,1022400.0
2000-05-06,1038200.0,1038200.0,1038200.0,182200.0,1014400.0
2000-05-08,1038200.0,1038200.0,1038200.0,182200.0,1004400.0
2000-05-09,1038200.0,1038200.0,1038200.0,182200.0,1014000.0
2000-05-10,1038200.0,1038200.0,1038200.0,182200.0,982600.0
2000-05-11,1038200.0,1038200.0,1038200.0,182200.0,951800.0
2000-05-12,1038200.0,1038200.0,1038200.0,182200.0,982400.0
2000-05-15,1038200.0,1038200.0,1038200.0,182200.0,966400.0
2000-05-16,1038200.0,1038200.0,1038200.0,182200.0,1017400.0
2000-05-17,1038200.0,1038200.0,1038200.0,182200.0,1080400.0
2000-05-18,1038200.0,1038200.0,1038200.0,182200.0,1083400.0
2000-05-19,1038200.0,1038200.0,1038200.0,182200.0,1109400.0
2000-05-20,1038200.0,1038200.0,1038200.0,182200.0,1030800.0
2000-05-22,1038200.0,1038200.0,1038200.0,182200.0,1028000.0
2000-05-23,1038200.0,1038200.0,1038200.0,182200.0,1012000.0
2000-05-24,1038200.0,1038200.0,1038200.0,182200.0,977800.0
2000-05-25,1038200.0,1038200.0,1038200.0,182200.0,975400.0
2000-05-26,1038200.0,1038200.0,1038200.0,182200.0,988000.0
2000-05-29,1038200.0,1038200.0,1038200.0,182200.0,989600.0
2000-05-30,1062600.0,1033000.0,1063200.0,187400.0,1025400.0
2000-05-31,1093600.0,1083600.0,1097600.0,136800.0,1056400.0
2000-06-01,1082600.0,1073200.0,1089400.0,147200.0,1045400.0
2000-06-02,1099000.0,1099000.0,1099000.0,121400.0,1046400.0
2000-06-03,1099000.0,1099000.0,1099000.0,121400.0,1069000.0
2000-06-05,1099000.0,1099000.0,1099000.0,121400.0,1070600.0
2000-06-07,1133200.0,1094400.0,1137200.0,126000.0,1097400.0
2000-06-08,1121000.0,1115800.0,1138200.0,104600.0,1085200.0
2000-06-09,1115800.0,1105800.0,1125200.0,114600.0,1080000.0
2000-06-12,1099800.0,1096200.0,1123200.0,124200.0,1064000.0
2000-06-13,1076000.0,1076000.0,1094200.0,144400.0,1040200.0
2000-06-14,1091200.0,1081200.0,1096000.0,139200.0,1055400.0
2000-06-15,1074200.0,1070000.0,1086200.0,150400.0,1038400.0
2000-06-16,1079000.0,1062400.0,1080000.0,158000.0,1043200.0
2000-06-17,1071200.0,1071200.0,1071200.0,149200.0,1032200.0
2000-06-19,1071200.0,1071200.0,1071200.0,149200.0,1025200.0
2000-06-20,1036600.0,1036600.0,1074400.0,183800.0,1002400.0
